21,Female,Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,No,30 minutes - 1 hour,20% - 30%,Very Reliable,Occasionally,"Price, Quality, Health Benefits",Often,Occasionally,Yes (Sometimes),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Supportive,Rarely,Yes,Not very aware,Never,Rarely,"Yes, Sometimes",Sometimes,Somewhat Important,Often,Nutritional Value,Very Much,Often,Comfortable,Very important,Moderately well,Strongly agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,No,Rarely,Neutral,Rarely,Rarely,Slightly knowledgeable,Yes,Often,No,Strongly agree,Frequently
21,Male,Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Very Reliable,Sometimes,"Price, Quality, Health Benefits",Sometimes,Sometimes,Yes (Strictly),Sometimes,No,Occasionally,Neutral,Yes,"Yes, Occasionaly",Sometimes,Yes,Supportive,Always,Yes,Very Aware,"Yes, Regularly",Always,"Yes, Sometimes",Sometimes,Important,Sometimes,Nutritional Value,To a great extent,Always,Very Comfortable,Moderately important,Very well,Neutral,Yes,"Yes, frequently",Neutral,Yes,Occasionally,"Yes, definitely",Yes,Yes,Several times a week,Positively,Daily,Several times a week,Somewhat knowledgeable,Yes,Often,Yes,Strongly agree,Rarely
21,Male,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,No,30 minutes - 1 hour,Less than 10%,Somewhat Reliable,Occasionally,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Often,Often,Yes (Sometimes),Always,No,Occasionally,Neutral,No,"No, Never",Sometimes,No,Neutral,Sometimes,No,Neutral,Never,Sometimes,"Yes, Sometimes",Sometimes,Somewhat Important,Sometimes,Taste and Flavour,Somewhat,Sometimes,Neutral,Extremely important,Moderately well,Neutral,No,"Yes, occasionally",Neutral,No,Rarely,"Yes, to some extent",No,No,Occasionally,Negatively,Occasionally,Occasionally,Very knowledgeable,No,Always,No,Agree,Frequently
21,Female,Urban,"High school graduate, diploma or the equivalent",Less than INR 1 Lakh,3 (Moderate),1-3 km,Yes,15-30 minutes,20% - 30%,Reliable,Sometimes,"Price, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Sometimes,Sometimes,No,Always,No,Rarely or Never,Somewhat dissatisfied,No,"No, Never",Never,No,Neutral,Rarely,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Always,Very Important,Sometimes,Taste and Flavour,Very Much,Always,Neutral,Very important,Very well,Agree,No,"No, never",Strongly agree,No,Never,"No, not enough",No,No,Rarely,Positively,Occasionally,Rarely,Very knowledgeable,Yes,Sometimes,No,Neutral,Frequently
20,Female,Semi Urban,"High school graduate, diploma or the equivalent",None as of now (Student),3 (Moderate),1-3 km,No,15-30 minutes,20% - 30%,Reliable,Sometimes,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Sometimes,Sometimes,Yes (Sometimes),Sometimes,No,Sometimes,Neutral,No,"No, Never",Rarely,No,Neutral,Rarely,Yes,Somewhat Aware,Never,Never,"Yes, Always",Sometimes,Very Important,Often,Nutritional Value,To a great extent,Sometimes,Very Comfortable,Extremely important,Moderately well,Strongly agree,No,"No, never",Agree,Yes,Never,"Yes, to some extent",Yes,Yes,Rarely,Neutral,Daily,Occasionally,Somewhat knowledgeable,Yes,Often,No,Neutral,Rarely
22,Male,Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),Less than 1km,Yes,Less than 15 minutes,Less than 10%,Reliable,Sometimes,"Price, Quality, Supporting Local Farmers",Sometimes,Sometimes,Yes (Strictly),Often,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Rarely,Yes,Somewhat Aware,Never,Never,"Yes, Sometimes",Rarely,Important,Sometimes,Taste and Flavour,To a great extent,Sometimes,Very Comfortable,Very important,Very well,Neutral,No,"No, never",Neutral,No,Rarely,"No, not enough",Yes,Yes,Never,Neutral,Rarely,Occasionally,Slightly knowledgeable,No,Often,No,Neutral,Never
22,Male,Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Very Reliable,Often,"Price, Quality",Often,Occasionally,No,Rarely or Never,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Sometimes,Yes,Not aware at all,"Yes, Occasionally",Never,"Yes, Sometimes",Never,Somewhat Important,Sometimes,Taste and Flavour,Slightly,Sometimes,Comfortable,Moderately important,Very well,Strongly agree,No,"Yes, occasionally",Neutral,No,Rarely,"Yes, to some extent",No,Yes,Never,Positively,Occasionally,Occasionally,Moderately knowledgeable,No,Rarely,No,Neutral,Never
18,Male,Urban,High School,None as of now (Student),4 (Abundant),Less than 1km,No,More than 1 hour,More than 40%,Very Reliable,Occasionally,"Price, Quality, Health Benefits",Rarely or Never,Rarely or Never,No,Always,No,Sometimes,Very Satisfied,No,"No, Never",Never,No,Very Supportive,Rarely,Yes,Somewhat Aware,Never,Always,"Yes, Sometimes",Rarely,Very Important,Always,Taste and Flavour,To a great extent,Always,Very Comfortable,Very important,Very well,Strongly agree,Yes,"No, never",Agree,Yes,Occasionally,"Yes, definitely",No,No,Never,Neutral,Rarely,Several times a week,Very knowledgeable,Yes,Sometimes,No,Strongly agree,Never
19,Male,Urban,Bachelor's Degree,Less than INR 1 Lakh,3 (Moderate),1-3 km,No,30 minutes - 1 hour,Less than 10%,Very Reliable,Rarely or Never,Supporting Local Farmers,Rarely or Never,Rarely or Never,No,Rarely or Never,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,Yes,Neutral,Always,Yes,Very Aware,"Yes, Regularly",Often,"Yes, Always",Often,Important,Rarely,Environmental Impact,To a great extent,Never,Comfortable,Moderately important,Moderately well,Neutral,Yes,"Yes, occasionally",Agree,Yes,Frequently,"Yes, definitely",No,No,Daily,Negatively,Rarely,Occasionally,Moderately knowledgeable,Yes,Always,Yes,Agree,Occasionally
18,Female,Semi Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),Less than 1km,Yes,15-30 minutes,20% - 30%,Reliable,Often,Quality,Always,Often,No,Always,No,Sometimes,Somewhat Satisfied,No,"No, Never",Never,Yes,Neutral,Never,Not Sure,Not very aware,Never,Rarely,"Yes, Always",Often,Very Important,Often,Nutritional Value,Very Much,Always,Very Comfortable,Very important,Extremely well,Strongly agree,Yes,"No, never",Neutral,No,Frequently,"Yes, to some extent",Yes,Yes,Rarely,Neutral,Rarely,Several times a week,Somewhat knowledgeable,Yes,Rarely,No,Agree,Rarely
18,Male,Rural,Bachelor's Degree,None as of now (Student),3 (Moderate),Less than 1km,Yes,Less than 15 minutes,20% - 30%,Somewhat Reliable,Sometimes,"Health Benefits, Supporting Local Farmers",Sometimes,Occasionally,No,Always,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,Yes,Neutral,Never,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Always,Very Important,Often,Taste and Flavour,Very Much,Always,Neutral,Extremely important,Very well,Strongly agree,No,"No, never",Neutral,No,Rarely,,Yes,Yes,Never,Negatively,Several times a week,Occasionally,Very knowledgeable,Yes,Sometimes,No,Neutral,Never
18,Male,Semi Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,Yes,15-30 minutes,20% - 30%,Reliable,Occasionally,"Price, Quality, Health Benefits",Sometimes,Sometimes,No,Often,No,Sometimes,Very Satisfied,No,"No, Never",Sometimes,No,Neutral,Never,Yes,Not very aware,Never,Sometimes,"Yes, Sometimes",Never,Somewhat Important,Sometimes,Nutritional Value,Very Much,Often,Neutral,Moderately important,Very well,Strongly agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,No,Never,Neutral,Never,Occasionally,Not knowledgeable at all,No,Often,No,Neutral,Frequently
18,Female,Semi Rural,High School,None as of now (Student),3 (Moderate),Less than 1km,No,15-30 minutes,Less than 10%,Reliable,Occasionally,Health Benefits,Often,Often,Yes (Strictly),Sometimes,No,Sometimes,Somewhat Satisfied,No,"Yes, Occasionaly",Sometimes,No,Not very Supportive,Sometimes,Not Sure,Somewhat Aware,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Sometimes,Somewhat Important,Sometimes,Nutritional Value,To a great extent,Always,Very Comfortable,Moderately important,Moderately well,Neutral,No,"Yes, occasionally",Neutral,No,Occasionally,"Yes, to some extent",No,Yes,Occasionally,Positively,Several times a week,Occasionally,Somewhat knowledgeable,No,Sometimes,No,Neutral,Occasionally
16,Female,Urban,High School,None as of now (Student),3 (Moderate),Less than 1km,No,15-30 minutes,Less than 10%,Very Reliable,Sometimes,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Often,Sometimes,No,Often,No,Occasionally,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Somewhat Aware,Never,Sometimes,"No, Never",Never,Not very Important,Sometimes,Taste and Flavour,Somewhat,Often,Comfortable,Moderately important,Moderately well,Strongly agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",No,No,Never,Neutral,Occasionally,Occasionally,Moderately knowledgeable,Yes,Rarely,No,Neutral,Occasionally
17,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),3 (Moderate),Less than 1km,No,15-30 minutes,More than 40%,Reliable,Sometimes,"Price, Quality, Health Benefits",Sometimes,Occasionally,Yes (Strictly),Sometimes,No,Occasionally,Neutral,No,"No, Never",Never,No,Supportive,Rarely,Not Sure,Not very aware,Never,Sometimes,"Yes, Sometimes",Sometimes,Important,Often,Taste and Flavour,Somewhat,Sometimes,Comfortable,Moderately important,Somewhat well,Agree,No,"No, never",Neutral,No,Rarely,"No, not enough",Yes,Yes,Rarely,Neutral,Rarely,Rarely,Somewhat knowledgeable,Yes,Often,No,Neutral,Rarely
19,Male,Urban,High School,None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Very Reliable,Often,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Often,Sometimes,Yes (Strictly),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Somewhat Aware,Never,Often,"No, Never",Never,Very Important,Often,Nutritional Value,To a great extent,Sometimes,Comfortable,Extremely important,Very well,Agree,No,"No, never",Agree,No,Never,"Yes, to some extent",Yes,Yes,Rarely,Negatively,Several times a week,Occasionally,Very knowledgeable,No,Rarely,No,Neutral,Never
18,Female,Semi Urban,High School,None as of now (Student),2 (Limited),Less than 1km,No,15-30 minutes,30% - 40%,Reliable,Sometimes,Health Benefits,Often,Sometimes,No,Always,No,Often,Somewhat dissatisfied,No,"No, Never",Rarely,Yes,Neutral,Sometimes,Yes,Somewhat Aware,Never,Often,"Yes, Always",Sometimes,Very Important,Often,Nutritional Value,To a great extent,Always,Very Comfortable,Extremely important,Moderately well,Strongly agree,No,"No, never",Strongly agree,Yes,Rarely,"No, not enough",Yes,No,Rarely,Negatively,Rarely,Rarely,Very knowledgeable,Yes,Sometimes,No,Strongly agree,Never
18,Female,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),1-3 km,No,30 minutes - 1 hour,10% - 20%,Reliable,Always,Health Benefits,Often,Sometimes,No,Often,Yes,Sometimes,Neutral,No,"No, Never",Never,No,Neutral,Never,Yes,Neutral,Never,Sometimes,"Yes, Sometimes",Rarely,Important,Often,Taste and Flavour,Somewhat,Often,Neutral,Not important at all,Moderately well,Strongly agree,No,"No, never",Strongly agree,No,Rarely,"No, not enough",Yes,No,Never,Neutral,Several times a week,Rarely,Somewhat knowledgeable,Yes,Sometimes,No,Neutral,Frequently
17,Female,Urban,High School,None as of now (Student),3 (Moderate),Less than 1km,No,30 minutes - 1 hour,30% - 40%,Very Reliable,Often,Environmental Sustainability,Often,Often,Yes (Sometimes),Often,No,Sometimes,Neutral,No,"Yes, Occasionaly",Sometimes,Yes,Very Supportive,Often,Yes,Somewhat Aware,Never,Rarely,"Yes, Sometimes",Often,Very Important,Sometimes,Nutritional Value,To a great extent,Always,Neutral,Very important,Extremely well,Strongly agree,No,"No, never",Agree,No,Rarely,"No, not enough",Yes,Yes,Occasionally,Neutral,Occasionally,Occasionally,Somewhat knowledgeable,Yes,Rarely,No,Neutral,Rarely
18,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),Less than 1km,Yes,Less than 15 minutes,10% - 20%,Reliable,Rarely or Never,"Price, Quality",Always,Always,No,Occasionally,Yes,Often,Very Disatisfied,No,"No, Never",Often,No,Supportive,Never,Not Sure,Not very aware,Never,Never,"No, Never",Never,Not Important at all,Often,Taste and Flavour,To a great extent,Often,Neutral,Very important,Somewhat well,Neutral,No,"No, never",Neutral,No,Rarely,"Yes, to some extent",No,No,Occasionally,Negatively,Occasionally,Occasionally,Somewhat knowledgeable,No,Often,No,Strongly disagree,Rarely
18,Male,Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Reliable,Occasionally,Supporting Local Farmers,Occasionally,Sometimes,Yes (Sometimes),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Often,Somewhat Important,Sometimes,Nutritional Value,To a great extent,Sometimes,Neutral,Very important,Somewhat well,Strongly agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Occasionally,Neutral,Daily,Several times a week,Somewhat knowledgeable,No,Never,No,Agree,Occasionally
19,Male,Urban,Bachelor's Degree,INR 5-15 Lakhs,4 (Abundant),1-3 km,No,Less than 15 minutes,10% - 20%,Reliable,Sometimes,"Quality, Health Benefits, Environmental Sustainability",Sometimes,Sometimes,No,Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Rarely,Important,Sometimes,Nutritional Value,To a great extent,Always,Comfortable,Very important,Somewhat well,Neutral,No,"Yes, frequently",Agree,No,Occasionally,"Yes, definitely",No,No,Occasionally,Positively,Occasionally,Several times a week,Very knowledgeable,Yes,Often,No,Neutral,Occasionally
20,Male,Urban,High School,None as of now (Student),2 (Limited),Less than 1km,Yes,Less than 15 minutes,Less than 10%,Unreliable,Rarely or Never,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Rarely or Never,Rarely or Never,No,Occasionally,Yes,Always,Very Disatisfied,No,"No, Never",Never,Yes,Neutral,Never,Yes,Very Aware,Never,Often,"Yes, Sometimes",Sometimes,Very Important,Often,Nutritional Value,To a great extent,Often,Comfortable,Extremely important,Extremely well,Strongly agree,No,"No, never",Agree,No,Rarely,"No, not enough",Yes,Yes,Rarely,Negatively,Occasionally,Rarely,Very knowledgeable,Yes,Often,No,Agree,Rarely
18,Male,Rural,High School,None as of now (Student),4 (Abundant),Less than 1km,Yes,15-30 minutes,Less than 10%,Reliable,Sometimes,"Quality, Health Benefits",Occasionally,Rarely or Never,No,Always,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,Yes,Supportive,Sometimes,Yes,Somewhat Aware,Never,Often,"Yes, Sometimes",Often,Important,Often,Nutritional Value,To a great extent,Always,Comfortable,Very important,Very well,Agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",No,Yes,Rarely,Negatively,Several times a week,Rarely,Very knowledgeable,Yes,Often,No,Agree,Occasionally
18,Male,Rural,High School,None as of now (Student),4 (Abundant),1-3 km,No,15-30 minutes,20% - 30%,Reliable,Sometimes,Price,Sometimes,Occasionally,Yes (Sometimes),Occasionally,No,Sometimes,Neutral,No,"No, Never",Never,No,Neutral,Rarely,Yes,Not very aware,Never,Rarely,"Yes, Sometimes",Often,Very Important,Sometimes,Nutritional Value,To a great extent,Often,Uncomfortable,Moderately important,Moderately well,Strongly agree,No,"No, never",Disagree,No,Rarely,"Yes, to some extent",No,No,Never,Neutral,Occasionally,Neve,Moderately knowledgeable,No,Sometimes,No,Neutral,Rarely
19,Male,Rural,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,Yes,Less than 15 minutes,Less than 10%,Very Reliable,Always,"Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,Yes (Strictly),Often,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,Yes,Not very Supportive,Often,Yes,Neutral,Never,Never,"No, Never",Always,Very Important,Always,Convenience,To a great extent,Often,Very Comfortable,Extremely important,Extremely well,Strongly agree,No,"Yes, occasionally",Strongly agree,No,Rarely,"Yes, to some extent",No,No,Never,Neutral,Occasionally,Rarely,Somewhat knowledgeable,Yes,Sometimes,No,Neutral,Never
37,Male,Urban,Doctorate (PhD),INR 5-15 Lakhs,4 (Abundant),1-3 km,No,15-30 minutes,20% - 30%,Very Reliable,Sometimes,"Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,No,Always,No,Sometimes,Somewhat dissatisfied,No,"No, Never",Never,No,Very Supportive,Rarely,Yes,Very Aware,"Yes, Occasionally",Often,"Yes, Sometimes",Rarely,Very Important,Often,Taste and Flavour,To a great extent,Often,Comfortable,Very important,Very well,Strongly agree,No,"No, never",Neutral,No,Rarely,"Yes, definitely",Yes,Yes,Never,Positively,Occasionally,Rarely,Slightly knowledgeable,No,Rarely,No,Agree,Rarely
18,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,More than 40%,Very Reliable,Sometimes,"Price, Supporting Local Farmers",Often,Often,No,Rarely or Never,No,Occasionally,Somewhat Satisfied,No,"No, Never",Never,No,Not very Supportive,Never,Not Sure,Neutral,Never,Rarely,"Yes, Always",Never,Somewhat Important,Rarely,Taste and Flavour,Somewhat,Sometimes,Comfortable,Moderately important,Very well,Strongly agree,Yes,"Yes, occasionally",Agree,Yes,Occasionally,"Yes, to some extent",Yes,Yes,Daily,Positively,Several times a week,Several times a week,Moderately knowledgeable,Yes,Always,No,Strongly agree,Frequently
18,Female,Urban,High School,None as of now (Student),4 (Abundant),1-3 km,No,More than 1 hour,10% - 20%,Very Reliable,Sometimes,"Price, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,Yes (Sometimes),Often,No,Sometimes,Neutral,No,"No, Never",Never,No,Supportive,Never,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Often,Very Important,Often,Nutritional Value,Somewhat,Often,Very Comfortable,Very important,Very well,Strongly agree,No,"No, never",Agree,No,Rarely,"Yes, definitely",No,Yes,Never,Negatively,Daily,Neve,Very knowledgeable,Yes,Rarely,No,Agree,Frequently
18,Female,Urban,Bachelor's Degree,None as of now (Student),2 (Limited),1-3 km,No,15-30 minutes,30% - 40%,Very Reliable,Often,"Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Rarely or Never,Often,No,Sometimes,No,Sometimes,Somewhat Satisfied,No,"Yes, Occasionaly",Never,No,Supportive,Rarely,Yes,Not very aware,Never,Sometimes,"Yes, Sometimes",Rarely,Very Important,Sometimes,Nutritional Value,To a great extent,Often,Neutral,Very important,Moderately well,Agree,No,"Yes, occasionally",Neutral,No,Occasionally,"Yes, to some extent",No,No,Never,Neutral,Occasionally,Occasionally,Very knowledgeable,No,Often,Yes,Agree,Occasionally
18,Female,Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),Less than 1km,No,15-30 minutes,20% - 30%,Reliable,Sometimes,"Quality, Health Benefits, Supporting Local Farmers",Occasionally,Sometimes,Yes (Strictly),Sometimes,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Not very Supportive,Rarely,Yes,Not very aware,Never,Sometimes,"Yes, Sometimes",Rarely,Important,Often,Nutritional Value,To a great extent,Always,Comfortable,Very important,Moderately well,Strongly agree,No,"No, never",Agree,No,Never,"Yes, to some extent",No,No,Never,Neutral,Occasionally,Occasionally,Moderately knowledgeable,No,Sometimes,No,Agree,Occasionally
18,Female,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),3 (Moderate),1-3 km,No,15-30 minutes,More than 40%,Very Reliable,Often,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Sometimes,Occasionally,Yes (Sometimes),Occasionally,No,Occasionally,Somewhat Satisfied,No,"No, Never",Never,No,Supportive,Rarely,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Sometimes,Somewhat Important,Sometimes,Taste and Flavour,Somewhat,Sometimes,Comfortable,Very important,Very well,Strongly agree,No,"No, never",Neutral,No,Rarely,"Yes, to some extent",Yes,Yes,Never,Neutral,Several times a week,Occasionally,Somewhat knowledgeable,Yes,Always,No,Strongly agree,Occasionally
18,Male,Urban,High School,INR 5-15 Lakhs,3 (Moderate),1-3 km,No,15-30 minutes,10% - 20%,Reliable,Occasionally,Quality,Always,Sometimes,Yes (Strictly),Sometimes,Yes,Rarely or Never,Neutral,Yes,"No, Never",Sometimes,No,Neutral,Rarely,Yes,Not very aware,"Yes, Occasionally",Rarely,"Yes, Always",Sometimes,Very Important,Sometimes,Taste and Flavour,To a great extent,Sometimes,Uncomfortable,Extremely important,Not at all well,Agree,No,"No, never",Disagree,No,Never,"No, not enough",Yes,Yes,Never,Positively,Occasionally,Occasionally,Somewhat knowledgeable,Yes,Rarely,No,Neutral,Occasionally
18,Male,Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),1-3 km,No,30 minutes - 1 hour,10% - 20%,Very Unreliable,Often,Price,Often,Often,No,Occasionally,Yes,Sometimes,Neutral,Yes,"No, Never",Rarely,Yes,Supportive,Never,Not Sure,Not very aware,Never,Never,"Yes, Sometimes",Rarely,Very Important,Often,Taste and Flavour,To a great extent,Often,Neutral,Very important,Moderately well,Strongly agree,No,"No, never",Agree,No,Rarely,"No, not enough",Yes,Yes,Rarely,Neutral,Rarely,Rarely,Very knowledgeable,No,Rarely,No,Neutral,Occasionally
18,Female,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,Yes,15-30 minutes,10% - 20%,Very Reliable,Sometimes,Quality,Sometimes,Often,Yes (Sometimes),Always,Yes,Occasionally,Somewhat Satisfied,No,"No, Never",Often,No,Not very Supportive,Often,No,Not very aware,"Yes, Occasionally",Always,"Yes, Sometimes",Often,Important,Always,Nutritional Value,To a great extent,Always,Comfortable,Very important,Very well,Agree,No,"No, never",Agree,Yes,Occasionally,"Yes, to some extent",Yes,Yes,Occasionally,Positively,Daily,Rarely,Moderately knowledgeable,Yes,Often,No,Agree,Frequently
17,Female,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),3 (Moderate),1-3 km,No,More than 1 hour,10% - 20%,Reliable,Sometimes,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,Yes (Sometimes),Often,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Rarely,No,Neutral,Rarely,Yes,Somewhat Aware,Never,Rarely,"No, Never",Sometimes,Important,Sometimes,Taste and Flavour,To a great extent,Often,Comfortable,Extremely important,Somewhat well,Agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Occasionally,Neutral,Rarely,Rarely,Very knowledgeable,No,Rarely,No,Neutral,Never
18,Female,Semi Urban,High School,None as of now (Student),3 (Moderate),Less than 1km,No,Less than 15 minutes,More than 40%,Very Reliable,Occasionally,Health Benefits,Often,Often,No,Often,Yes,Often,Neutral,No,"No, Never",Never,No,Not very Supportive,Never,Yes,Not aware at all,Never,Often,"Yes, Sometimes",Often,Important,Often,Taste and Flavour,Very Much,Always,Very Comfortable,Extremely important,Extremely well,Strongly agree,No,"No, never",Agree,No,Occasionally,"Yes, definitely",No,No,Never,Negatively,Several times a week,Occasionally,Moderately knowledgeable,No,Always,No,Strongly agree,Frequently
19,Male,Semi Rural,Bachelor's Degree,None as of now (Student),3 (Moderate),1-3 km,Yes,15-30 minutes,More than 40%,Reliable,Always,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Sometimes,Yes (Sometimes),Always,Yes,Sometimes,Neutral,No,"Yes, Occasionaly",Sometimes,Yes,Supportive,Always,Yes,Somewhat Aware,Never,Always,"Yes, Always",Sometimes,Very Important,Often,Taste and Flavour,Very Much,Always,Uncomfortable,Extremely important,Somewhat well,Neutral,Yes,"Yes, frequently",Strongly agree,Yes,Frequently,"Yes, definitely",Yes,Yes,Occasionally,Neutral,Several times a week,Occasionally,Moderately knowledgeable,Yes,Sometimes,Yes,Neutral,Occasionally
18,Male,Rural,Bachelor's Degree,None as of now (Student),2 (Limited),1-3 km,Yes,15-30 minutes,20% - 30%,Reliable,Occasionally,Quality,Occasionally,Sometimes,Yes (Strictly),Always,No,Sometimes,Somewhat Satisfied,No,"Yes, Occasionaly",Often,Yes,Supportive,Often,Yes,Somewhat Aware,"Yes, Occasionally",Often,"Yes, Sometimes",Often,Important,Sometimes,Nutritional Value,Somewhat,Sometimes,Neutral,Very important,Somewhat well,Agree,Yes,"Yes, frequently",Disagree,No,Occasionally,"Yes, definitely",Yes,Yes,Rarely,Negatively,Several times a week,Daily,Moderately knowledgeable,No,Often,Yes,Neutral,Rarely
18,Female,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),5 (Very Abundant),Less than 1km,No,30 minutes - 1 hour,20% - 30%,Somewhat Reliable,Sometimes,"Quality, Health Benefits, Supporting Local Farmers",Sometimes,Sometimes,Yes (Sometimes),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,Yes,Neutral,Rarely,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Sometimes,Not very Important,Sometimes,Nutritional Value,To a great extent,Often,Very Comfortable,Very important,Very well,Strongly agree,Yes,"Yes, occasionally",Agree,No,Frequently,"Yes, to some extent",Yes,Yes,Occasionally,Positively,Occasionally,Occasionally,Moderately knowledgeable,Yes,Sometimes,No,Agree,Occasionally
