19,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),Less than 1km,Yes,15-30 minutes,10% - 20%,Somewhat Reliable,Sometimes,Price,Sometimes,Sometimes,Yes (Strictly),Sometimes,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Somewhat Aware,Never,Rarely,"Yes, Sometimes",Never,Important,Sometimes,Nutritional Value,To a great extent,Sometimes,Neutral,Moderately important,Moderately well,Agree,No,"No, never",Neutral,No,Never,"Yes, to some extent",Yes,Yes,Never,Neutral,Rarely,Rarely,Somewhat knowledgeable,No,Often,No,Agree,Rarely
20,Male,Urban,Bachelor's Degree,None as of now (Student),1 (Very Limited),more than 5km,Yes,30 minutes - 1 hour,More than 40%,Very Unreliable,Sometimes,"Price, Quality, Health Benefits",Rarely or Never,Sometimes,No,Often,Yes,Always,Somewhat dissatisfied,No,"No, Never",Rarely,No,Not very Supportive,Never,Yes,Neutral,"Yes, Occasionally",Sometimes,"Yes, Always",Never,Somewhat Important,Often,Taste and Flavour,To a great extent,Always,Comfortable,Very important,Somewhat well,Agree,No,"No, never",Agree,No,Rarely,"No, not enough",Yes,Yes,Several times a week,Negatively,Occasionally,Occasionally,Somewhat knowledgeable,No,Sometimes,No,Agree,Occasionally
18,Male,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,Yes,15-30 minutes,30% - 40%,Reliable,Sometimes,"Quality, Health Benefits",Often,Occasionally,Yes (Strictly),Occasionally,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Supportive,Never,Yes,Neutral,"Yes, Occasionally",Often,"Yes, Sometimes",Often,Important,Sometimes,Nutritional Value,To a great extent,Always,Neutral,Extremely important,Moderately well,Neutral,No,"Yes, occasionally",Strongly agree,No,Rarely,"Yes, to some extent",Yes,Yes,Never,Negatively,Occasionally,Occasionally,Very knowledgeable,Yes,Always,No,Agree,Occasionally
19,Male,Semi Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),1-3 km,No,15-30 minutes,30% - 40%,Reliable,Sometimes,Quality,Often,Sometimes,Yes (Sometimes),Often,No,Sometimes,Neutral,No,"No, Never",Never,No,Not very Supportive,Rarely,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Sometimes,Very Important,Often,Nutritional Value,Somewhat,Often,Comfortable,Extremely important,Somewhat well,Agree,No,"No, never",Neutral,No,Rarely,"Yes, to some extent",Yes,Yes,Rarely,Neutral,Rarely,Rarely,Very knowledgeable,No,Sometimes,No,Agree,Occasionally
18,Male,Urban,Bachelor's Degree,INR 5-15 Lakhs,5 (Very Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Very Reliable,Often,"Price, Quality, Health Benefits",Sometimes,Occasionally,Yes (Strictly),Always,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Supportive,Never,Not Sure,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Sometimes,Important,Often,Taste and Flavour,To a great extent,Always,Comfortable,Extremely important,Very well,Strongly agree,No,"No, never",Neutral,No,Rarely,"Yes, to some extent",No,Yes,Occasionally,Positively,Rarely,Several times a week,Very knowledgeable,No,Never,No,Neutral,Rarely
23,Female,Semi Urban,Doctorate (PhD),None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Reliable,Occasionally,"Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,Yes (Strictly),Always,No,Rarely or Never,Neutral,No,"Yes, Occasionaly",Never,No,Supportive,Rarely,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Often,Very Important,Always,Nutritional Value,To a great extent,Often,Comfortable,Extremely important,Moderately well,Strongly agree,Yes,"Yes, occasionally",Agree,Yes,Rarely,"No, not enough",No,Yes,Occasionally,Positively,Several times a week,Occasionally,Moderately knowledgeable,Yes,Sometimes,No,Agree,Occasionally
20,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,30% - 40%,Very Reliable,Often,"Price, Quality, Health Benefits",Often,Sometimes,Yes (Strictly),Often,No,Sometimes,Very Satisfied,No,"No, Never",Never,No,Very Supportive,Rarely,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Rarely,Very Important,Often,Taste and Flavour,To a great extent,Always,Comfortable,Extremely important,Moderately well,Strongly agree,No,"Yes, occasionally",Disagree,No,Occasionally,"Yes, to some extent",Yes,No,Daily,Positively,Daily,Neve,Moderately knowledgeable,Yes,Always,No,Strongly agree,Frequently
20,Male,Urban,"High school graduate, diploma or the equivalent",Less than INR 1 Lakh,5 (Very Abundant),Less than 1km,No,Less than 15 minutes,30% - 40%,Very Reliable,Occasionally,Quality,Sometimes,Occasionally,Yes (Sometimes),Occasionally,No,Sometimes,Neutral,No,"No, Never",Never,No,Neutral,Rarely,Yes,Somewhat Aware,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Sometimes,Important,Sometimes,Nutritional Value,Somewhat,Often,Comfortable,Very important,Somewhat well,Agree,No,"No, never",Neutral,No,Never,"Yes, to some extent",Yes,No,Several times a week,Positively,Several times a week,Daily,Moderately knowledgeable,Yes,Never,No,Neutral,Rarely
21,Male,Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,No,30 minutes - 1 hour,20% - 30%,Reliable,Often,"Price, Health Benefits, Supporting Local Farmers",Occasionally,Rarely or Never,Yes (Sometimes),Always,No,Rarely or Never,Somewhat Satisfied,No,"Yes, Occasionaly",Never,Yes,Not very Supportive,Often,Yes,Not very aware,Never,Often,"Yes, Sometimes",Rarely,Important,Often,Nutritional Value,Very Much,Often,Very Comfortable,Extremely important,Very well,Agree,No,"No, never",Neutral,No,Rarely,"No, not enough",Yes,Yes,Never,Positively,Occasionally,Occasionally,Moderately knowledgeable,Yes,Rarely,No,Strongly agree,Frequently
19,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),5 (Very Abundant),Less than 1km,No,15-30 minutes,Less than 10%,Reliable,Sometimes,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Often,Often,Yes (Strictly),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Supportive,Never,Yes,Somewhat Aware,Never,Rarely,"Yes, Sometimes",Sometimes,Very Important,Sometimes,Taste and Flavour,Very Much,Often,Very Comfortable,Extremely important,Very well,Strongly agree,No,"No, never",Agree,No,Rarely,"Yes, definitely",No,Yes,Never,Negatively,Rarely,Daily,Very knowledgeable,No,Always,No,Agree,Frequently
18,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),1-3 km,Yes,30 minutes - 1 hour,Less than 10%,Reliable,Sometimes,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Always,Often,Yes (Strictly),Often,No,Rarely or Never,Neutral,No,"No, Never",Never,No,Supportive,Never,Yes,Somewhat Aware,Never,Rarely,"Yes, Sometimes",Never,Very Important,Sometimes,Taste and Flavour,Very Much,Often,Very Comfortable,Extremely important,Extremely well,Strongly agree,No,"No, never",Strongly agree,No,Rarely,"Yes, definitely",No,Yes,Never,Negatively,Rarely,Several times a week,Very knowledgeable,No,Always,No,Agree,Frequently
19,Male,Urban,High School,None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Reliable,Sometimes,Health Benefits,Sometimes,Occasionally,Yes (Strictly),Sometimes,No,Occasionally,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Not very aware,Never,Sometimes,"Yes, Sometimes",Rarely,Important,Often,Nutritional Value,Somewhat,Sometimes,Comfortable,Moderately important,Somewhat well,Agree,No,"No, never",Agree,No,Never,"Yes, to some extent",Yes,Yes,Rarely,Positively,Rarely,Rarely,Somewhat knowledgeable,No,Rarely,No,Agree,Occasionally
21,Male,Semi Rural,High School,None as of now (Student),3 (Moderate),Less than 1km,No,Less than 15 minutes,Less than 10%,Somewhat Reliable,Occasionally,Quality,Occasionally,Rarely or Never,Yes (Sometimes),Always,No,Sometimes,Somewhat Satisfied,No,"No, Never",Never,No,Supportive,Sometimes,Not Sure,Not very aware,Never,Sometimes,"Yes, Always",Rarely,Very Important,Often,Nutritional Value,To a great extent,Always,Comfortable,Very important,Moderately well,Agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Rarely,Neutral,Rarely,Rarely,Somewhat knowledgeable,Yes,Sometimes,No,Neutral,Never
20,Male,Urban,"High school graduate, diploma or the equivalent",Prefer not to Say,4 (Abundant),Less than 1km,No,Less than 15 minutes,20% - 30%,Very Reliable,Often,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Often,Often,No,Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Supportive,Sometimes,Yes,Neutral,"Yes, Occasionally",Rarely,"Yes, Sometimes",Rarely,Somewhat Important,Often,Taste and Flavour,To a great extent,Often,Comfortable,Extremely important,Extremely well,Strongly agree,No,"No, never",Neutral,No,Rarely,"Yes, to some extent",Yes,Yes,Never,Positively,Occasionally,Occasionally,Moderately knowledgeable,Yes,Rarely,No,Agree,Never
19,Female,Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),Less than 1km,No,15-30 minutes,30% - 40%,Very Reliable,Often,"Quality, Supporting Local Farmers, Environmental Sustainability",Sometimes,Occasionally,No,Always,No,Sometimes,Neutral,No,"No, Never",Rarely,No,Supportive,Sometimes,Yes,Neutral,"Yes, Occasionally",Always,"Yes, Always",Often,Very Important,Often,Nutritional Value,Somewhat,Always,Neutral,Very important,Somewhat well,Agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Occasionally,Neutral,Occasionally,Occasionally,Moderately knowledgeable,Yes,Often,Yes,Agree,Occasionally
20,Female,Urban,Bachelor's Degree,None as of now (Student),2 (Limited),1-3 km,Yes,Less than 15 minutes,10% - 20%,Reliable,Occasionally,Quality,Occasionally,Occasionally,Yes (Sometimes),Occasionally,Yes,Occasionally,Somewhat Satisfied,Yes,"Yes, Occasionaly",Often,Yes,Very Supportive,Always,Yes,Somewhat Aware,"Yes, Regularly",Often,"Yes, Sometimes",Sometimes,Somewhat Important,Often,Nutritional Value,To a great extent,Always,Comfortable,Very important,Somewhat well,Disagree,Yes,"Yes, occasionally",Agree,Yes,Occasionally,"Yes, to some extent",Yes,Yes,Occasionally,Positively,Several times a week,Several times a week,Moderately knowledgeable,Yes,Often,Yes,Agree,Occasionally
21,Male,Semi Rural,"High school graduate, diploma or the equivalent",INR 1-5 Lakhs,4 (Abundant),Less than 1km,No,Less than 15 minutes,30% - 40%,Very Reliable,Always,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,Yes (Sometimes),Rarely or Never,No,Occasionally,Somewhat Satisfied,Yes,"No, Never",Rarely,No,Supportive,Often,Yes,Somewhat Aware,"Yes, Occasionally",Often,"Yes, Sometimes",Sometimes,Important,Often,Nutritional Value,To a great extent,Often,Comfortable,Moderately important,Moderately well,Neutral,No,"No, never",Agree,No,Occasionally,"Yes, to some extent",Yes,Yes,Daily,Positively,Occasionally,Occasionally,Somewhat knowledgeable,No,Often,No,Agree,Occasionally
19,Male,Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),Less than 1km,No,Less than 15 minutes,20% - 30%,Very Reliable,Always,"Price, Quality",Occasionally,Occasionally,Yes (Sometimes),Always,No,Sometimes,Neutral,No,"No, Never",Sometimes,No,Neutral,Never,Yes,Somewhat Aware,Never,Always,"Yes, Always",Rarely,Somewhat Important,Rarely,Convenience,To a great extent,Always,Neutral,Not important at all,Moderately well,Strongly agree,No,"Yes, occasionally",Agree,No,Frequently,"Yes, to some extent",Yes,Yes,Occasionally,Positively,Rarely,Occasionally,Moderately knowledgeable,Yes,Rarely,No,Agree,Never
20,Female,Semi Urban,"High school graduate, diploma or the equivalent",None as of now (Student),5 (Very Abundant),Less than 1km,No,15-30 minutes,More than 40%,Reliable,Often,"Price, Quality, Health Benefits",Sometimes,Occasionally,Yes (Strictly),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,Yes,Supportive,Sometimes,Yes,Neutral,Never,Never,"Yes, Sometimes",Sometimes,Important,Often,Nutritional Value,To a great extent,Always,Very Comfortable,Moderately important,Somewhat well,Neutral,No,"No, never",Agree,No,Rarely,"Yes, to some extent",No,Yes,Never,Neutral,Rarely,Rarely,Very knowledgeable,No,Always,No,Strongly agree,Rarely
20,Female,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,No,15-30 minutes,Less than 10%,Very Reliable,Occasionally,"Quality, Health Benefits, Supporting Local Farmers",Sometimes,Often,Yes (Sometimes),Often,No,Occasionally,Neutral,No,"No, Never",Sometimes,No,Neutral,Sometimes,Not Sure,Not very aware,Never,Sometimes,"Yes, Sometimes",Often,Important,Sometimes,Taste and Flavour,Somewhat,Often,Neutral,Very important,Moderately well,Agree,No,"No, never",Neutral,No,Never,"Yes, to some extent",Yes,Yes,Occasionally,Positively,Occasionally,Rarely,Somewhat knowledgeable,Yes,Sometimes,No,Agree,Occasionally
19,Male,Urban,High School,None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Very Reliable,Always,"Price, Quality, Health Benefits",Occasionally,Sometimes,Yes (Strictly),Often,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Rarely,Yes,Very Aware,Never,Rarely,"Yes, Sometimes",Never,Somewhat Important,Always,Taste and Flavour,Very Much,Rarely,Very Comfortable,Extremely important,Very well,Strongly agree,No,"No, never",Strongly agree,No,Never,"Yes, to some extent",Yes,Yes,Never,Neutral,Rarely,Rarely,Very knowledgeable,Yes,Rarely,No,Disagree,Occasionally
18,Male,Semi Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),1-3 km,No,15-30 minutes,Less than 10%,Somewhat Reliable,Often,Price,Occasionally,Sometimes,No,Always,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Very Supportive,Never,Yes,Neutral,Never,Rarely,"Yes, Sometimes",Rarely,Important,Sometimes,Taste and Flavour,Slightly,Often,Comfortable,Slightly important,Moderately well,Neutral,No,"No, never",Disagree,No,Never,"Yes, to some extent",No,No,Never,Neutral,Never,Rarely,Somewhat knowledgeable,No,Rarely,No,Neutral,Rarely
18,Male,Urban,High School,INR 1-5 Lakhs,3 (Moderate),Less than 1km,No,30 minutes - 1 hour,30% - 40%,Reliable,Occasionally,"Price, Quality",Sometimes,Sometimes,No,Often,Yes,Sometimes,Neutral,No,"No, Never",Never,No,Neutral,Sometimes,Yes,Neutral,Never,Sometimes,"Yes, Sometimes",Never,Important,Often,Taste and Flavour,Somewhat,Sometimes,Uncomfortable,Moderately important,Moderately well,Strongly disagree,No,"Yes, frequently",Agree,Yes,Occasionally,"Yes, to some extent",Yes,Yes,Rarely,Positively,Occasionally,Occasionally,Slightly knowledgeable,No,Sometimes,No,Neutral,Rarely
19,Male,Urban,Bachelor's Degree,Less than INR 1 Lakh,3 (Moderate),more than 5km,Yes,30 minutes - 1 hour,20% - 30%,Reliable,Occasionally,"Health Benefits, Supporting Local Farmers, Environmental Sustainability",Sometimes,Sometimes,No,Always,Yes,Rarely or Never,Somewhat Satisfied,No,"Yes, Occasionaly",Sometimes,Yes,Supportive,Sometimes,Yes,Somewhat Aware,"Yes, Occasionally",Always,"Yes, Sometimes",Often,Somewhat Important,Sometimes,Nutritional Value,To a great extent,Always,Neutral,Very important,Moderately well,Neutral,Yes,"Yes, occasionally",Agree,No,Occasionally,"Yes, to some extent",No,Yes,Occasionally,Positively,Rarely,Rarely,Moderately knowledgeable,No,Sometimes,Yes,Neutral,Rarely
18,Male,Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),3-5 km,Yes,Less than 15 minutes,30% - 40%,Somewhat Reliable,Sometimes,"Price, Supporting Local Farmers",Often,Often,Yes (Sometimes),Sometimes,Yes,Rarely or Never,Neutral,No,"No, Never",Rarely,No,Supportive,Never,Not Sure,Neutral,Never,Rarely,"Yes, Always",Often,Very Important,Sometimes,Taste and Flavour,Somewhat,Sometimes,Comfortable,Extremely important,Very well,Agree,No,"No, never",Neutral,No,Never,"No, not enough",Yes,Yes,Occasionally,Positively,Several times a week,Occasionally,Very knowledgeable,Yes,Sometimes,No,Agree,Rarely
17,Male,Semi Urban,"High school graduate, diploma or the equivalent",None as of now (Student),3 (Moderate),Less than 1km,No,15-30 minutes,More than 40%,Reliable,Sometimes,Quality,Often,Often,Yes (Sometimes),Sometimes,Yes,Sometimes,Somewhat Satisfied,No,"No, Never",Rarely,No,Neutral,Rarely,Not Sure,Somewhat Aware,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Sometimes,Somewhat Important,Sometimes,Taste and Flavour,Somewhat,Sometimes,Comfortable,Moderately important,Moderately well,Agree,Yes,"Yes, occasionally",Agree,No,Occasionally,"Yes, to some extent",No,No,Rarely,Neutral,Rarely,Occasionally,Somewhat knowledgeable,No,Sometimes,Yes,Agree,Occasionally
17,Male,Rural,High School,None as of now (Student),2 (Limited),Less than 1km,Yes,Less than 15 minutes,30% - 40%,Reliable,Occasionally,Quality,Occasionally,Occasionally,No,Always,No,Occasionally,Somewhat Satisfied,No,"Yes, Occasionaly",Often,Yes,Supportive,Sometimes,Yes,Neutral,Never,Often,"Yes, Sometimes",Often,Somewhat Important,Sometimes,Nutritional Value,To a great extent,Sometimes,Comfortable,Moderately important,Somewhat well,Agree,Yes,"Yes, occasionally",Strongly agree,No,Frequently,"No, not enough",Yes,Yes,Occasionally,Neutral,Several times a week,Several times a week,Moderately knowledgeable,Yes,Often,Yes,Neutral,Frequently
20,Male,Rural,High School,None as of now (Student),3 (Moderate),Less than 1km,Yes,15-30 minutes,20% - 30%,Reliable,Often,"Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,Yes (Strictly),Sometimes,No,Occasionally,Neutral,No,"No, Never",Rarely,No,Neutral,Sometimes,Yes,Neutral,Never,Sometimes,"Yes, Sometimes",Sometimes,Important,Rarely,Taste and Flavour,To a great extent,Often,Neutral,Very important,Moderately well,Agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Never,Neutral,Rarely,Occasionally,Very knowledgeable,No,Sometimes,No,Neutral,Rarely
17,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Very Reliable,Occasionally,Price,Sometimes,Occasionally,No,Often,No,Occasionally,Neutral,No,"No, Never",Never,No,Neutral,Never,Yes,Not very aware,Never,Rarely,"Yes, Sometimes",Rarely,Not very Important,Sometimes,Taste and Flavour,Very Much,Often,Neutral,Very important,Somewhat well,Agree,No,"Yes, frequently",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Never,Positively,Occasionally,Rarely,Moderately knowledgeable,No,Rarely,No,Neutral,Never
18,Male,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,No,30 minutes - 1 hour,20% - 30%,Reliable,Occasionally,"Supporting Local Farmers, Environmental Sustainability",Occasionally,Occasionally,No,Sometimes,No,Occasionally,Neutral,Yes,"No, Never",Rarely,No,Neutral,Rarely,Yes,Very Aware,Never,Sometimes,"Yes, Sometimes",Often,Very Important,Often,Nutritional Value,Very Much,Often,Comfortable,Moderately important,Somewhat well,Agree,No,"No, never",Agree,Yes,Occasionally,"Yes, to some extent",Yes,Yes,Occasionally,Neutral,Never,Neve,Moderately knowledgeable,Yes,Often,Yes,Agree,Occasionally
20,Female,Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),more than 5km,Yes,30 minutes - 1 hour,20% - 30%,Somewhat Reliable,Sometimes,Price,Sometimes,Occasionally,Yes (Sometimes),Often,Yes,Sometimes,Neutral,Yes,"No, Never",Rarely,Yes,Neutral,Rarely,Yes,Neutral,Never,Sometimes,"Yes, Sometimes",Sometimes,Important,Sometimes,Taste and Flavour,Somewhat,Sometimes,Comfortable,Very important,Somewhat well,Agree,No,"No, never",Neutral,Yes,Rarely,"Yes, to some extent",Yes,Yes,Several times a week,Positively,Occasionally,Rarely,Moderately knowledgeable,Yes,Sometimes,No,Neutral,Rarely
20,Male,Urban,High School,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Somewhat Reliable,Occasionally,"Price, Quality",Sometimes,Often,No,Often,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Supportive,Rarely,Yes,Neutral,Never,Sometimes,"Yes, Sometimes",Rarely,Not very Important,Rarely,Taste and Flavour,Somewhat,Often,Comfortable,Slightly important,Very well,Agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Rarely,Positively,Occasionally,Rarely,Very knowledgeable,No,Often,No,Agree,Frequently
20,Male,Urban,High School,None as of now (Student),5 (Very Abundant),Less than 1km,No,15-30 minutes,10% - 20%,Very Reliable,Occasionally,Supporting Local Farmers,Often,Often,No,Often,No,Sometimes,Neutral,No,"No, Never",Never,No,Supportive,Rarely,Yes,Not aware at all,Never,Never,"Yes, Sometimes",Rarely,Somewhat Important,Never,Nutritional Value,Somewhat,Sometimes,Comfortable,Slightly important,Moderately well,Agree,Yes,"Yes, occasionally",Strongly agree,No,Rarely,"Yes, definitely",Yes,Yes,Occasionally,Neutral,Occasionally,Occasionally,Somewhat knowledgeable,Yes,Always,No,Agree,Never
21,Male,Semi Urban,"High school graduate, diploma or the equivalent",None as of now (Student),2 (Limited),more than 5km,Yes,More than 1 hour,30% - 40%,Somewhat Reliable,Sometimes,"Price, Quality",Occasionally,Occasionally,Yes (Strictly),Sometimes,Yes,Often,Neutral,Yes,"No, Never",Sometimes,No,Supportive,Never,Yes,Somewhat Aware,Never,Rarely,"No, Never",Often,Important,Often,Taste and Flavour,To a great extent,Often,Comfortable,Extremely important,Moderately well,Strongly agree,Yes,"Yes, occasionally",Agree,Yes,Rarely,"Yes, to some extent",Yes,Yes,Occasionally,Neutral,Rarely,Occasionally,Moderately knowledgeable,Yes,Often,No,Agree,Rarely
21,Male,Semi Urban,Bachelor's Degree,None as of now (Student),3 (Moderate),3-5 km,No,30 minutes - 1 hour,20% - 30%,Reliable,Often,"Price, Quality",Rarely or Never,Occasionally,No,Always,No,Sometimes,Somewhat dissatisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Somewhat Aware,Never,Always,"Yes, Sometimes",Always,Very Important,Often,Nutritional Value,Somewhat,Often,Very Comfortable,Very important,Very well,Strongly agree,Yes,"No, never",Strongly agree,No,Never,"No, not enough",Yes,Yes,Never,Neutral,Occasionally,Neve,Very knowledgeable,Yes,Never,No,Strongly agree,Never
21,Male,Rural,High School,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Very Reliable,Often,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Often,Sometimes,No,Often,No,Occasionally,Neutral,No,"No, Never",Never,No,Neutral,Rarely,Yes,Somewhat Aware,Never,Rarely,"Yes, Sometimes",Sometimes,Important,Sometimes,Taste and Flavour,Somewhat,Sometimes,Comfortable,Moderately important,Moderately well,Neutral,No,"No, never",Agree,No,Occasionally,"No, not enough",Yes,Yes,Rarely,Neutral,Rarely,Neve,Somewhat knowledgeable,No,Sometimes,No,Neutral,Never
21,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,More than 40%,Reliable,Sometimes,"Quality, Health Benefits",Sometimes,Sometimes,No,Sometimes,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Neutral,Never,Rarely,"Yes, Sometimes",Rarely,Somewhat Important,Sometimes,Taste and Flavour,To a great extent,Sometimes,Neutral,Moderately important,Moderately well,Strongly agree,No,"No, never",Strongly agree,No,Rarely,"Yes, to some extent",Yes,Yes,Never,Positively,Several times a week,Rarely,Somewhat knowledgeable,Yes,Sometimes,No,Agree,Never
20,Male,Semi Urban,High School,None as of now (Student),3 (Moderate),1-3 km,Yes,15-30 minutes,10% - 20%,Somewhat Reliable,Sometimes,"Quality, Health Benefits, Supporting Local Farmers",Sometimes,Sometimes,No,Sometimes,No,Sometimes,Neutral,No,"No, Never",Never,No,Neutral,Sometimes,Yes,Somewhat Aware,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Rarely,Very Important,Often,Nutritional Value,Slightly,Often,Neutral,Very important,Very well,Agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Never,Positively,Occasionally,Several times a week,Very knowledgeable,Yes,Sometimes,Yes,Agree,Rarely
18,Male,Semi Urban,"High school graduate, diploma or the equivalent",None as of now (Student),2 (Limited),Less than 1km,No,15-30 minutes,20% - 30%,Reliable,Sometimes,Quality,Often,Often,Yes (Strictly),Often,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Often,Yes,Somewhat Aware,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Sometimes,Somewhat Important,Sometimes,Convenience,Somewhat,Sometimes,Uncomfortable,Moderately important,Moderately well,Agree,No,"No, never",Neutral,No,Rarely,"No, not enough",Yes,Yes,Occasionally,Positively,Several times a week,Occasionally,Somewhat knowledgeable,Yes,Sometimes,No,Neutral,Occasionally
18,Male,Semi Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),1-3 km,Yes,30 minutes - 1 hour,More than 40%,Somewhat Reliable,Often,"Quality, Supporting Local Farmers",Always,Often,No,Always,No,Sometimes,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Neutral,Never,Never,"Yes, Always",Sometimes,Not very Important,Often,Taste and Flavour,Very Much,Always,Neutral,Very important,Moderately well,Neutral,Yes,"Yes, occasionally",Neutral,No,Occasionally,"Yes, to some extent",No,Yes,Occasionally,Negatively,Several times a week,Occasionally,Moderately knowledgeable,Yes,Sometimes,No,Agree,Occasionally
21,Male,Urban,High School,More than INR 15 Lakhs,5 (Very Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Very Reliable,Often,Supporting Local Farmers,Occasionally,Rarely or Never,Yes (Sometimes),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Always,Yes,Very Aware,"Yes, Occasionally",Never,"Yes, Sometimes",Always,Important,Sometimes,Taste and Flavour,Very Much,Always,Neutral,Moderately important,Not at all well,Agree,Yes,"No, never",Agree,No,Rarely,"Yes, to some extent",No,No,Never,Negatively,Rarely,Occasionally,Moderately knowledgeable,Yes,Never,No,Neutral,Never
19,Male,Urban,High School,None as of now (Student),5 (Very Abundant),1-3 km,No,Less than 15 minutes,Less than 10%,Very Reliable,Often,Supporting Local Farmers,Occasionally,Rarely or Never,Yes (Sometimes),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Always,Yes,Very Aware,"Yes, Occasionally",Never,"Yes, Sometimes",Always,Important,Sometimes,Nutritional Value,Very Much,Always,Neutral,Moderately important,Not at all well,Agree,Yes,"No, never",Agree,No,Rarely,"Yes, to some extent",No,No,Never,Negatively,Rarely,Occasionally,Moderately knowledgeable,Yes,Never,No,Neutral,Never
